t delta quadratic
0.11211211211211213 48.79496707516774 48.49646399613095
0.11311311311311313 49.38620639111333 49.13974504686061
0.11411411411411412 48.04779001374047 47.793894200584845
0.11511511511511513 47.934087143677075 47.69681875063965
0.11611611611611612 48.71499863250947 48.48663985416763
0.11711711711711713 48.08075184883574 47.8512606341038
0.11811811811811812 47.1489201894569 46.92433807365548
0.11911911911911913 47.222300331506744 46.99249615914603
0.12012012012012012 47.4073083965914 47.2004095368629
0.12112112112112113 47.34636035546686 47.12223435226514
0.12212212212212213 47.790114652799026 47.5743065171989
0.12312312312312312 46.66547956912117 46.45006551811738
0.12412412412412413 48.37828207168573 48.17291412666269
0.12512512512512514 49.16356805487766 48.96858658354357
0.12612612612612611 48.202860649093 48.009007940562825
0.12712712712712712 48.270007382581106 48.085287947100646
